rank,accuracy,n_mfcc,n_fft,win_len,hop_len,n_mels,delta,delta2,gmm_comp,gmm_cov
160,92.50,13,1024,400,200,26,True,False,4,tied
161,92.50,13,1024,400,200,26,True,False,8,tied
162,92.50,13,1024,400,200,26,True,True,8,diag
163,92.50,13,1024,400,200,26,True,True,4,tied
164,92.50,13,1024,400,200,26,True,False,12,tied
165,92.50,13,1024,400,200,26,True,True,8,tied
166,92.50,13,1024,400,200,32,True,False,4,tied
167,92.50,13,1024,400,200,32,True,False,8,tied
168,92.50,13,1024,400,200,32,True,False,12,diag
169,92.50,13,1024,400,200,32,True,False,12,tied
170,92.50,13,1024,400,200,32,True,True,8,tied
171,92.50,13,1024,512,160,26,True,False,4,tied
172,92.50,13,1024,512,160,26,True,False,8,diag
173,92.50,13,1024,512,160,26,True,False,8,tied
174,92.50,13,1024,512,160,26,True,False,12,tied
175,92.50,13,1024,512,160,26,True,True,12,tied
176,92.50,13,1024,512,160,32,False,False,8,tied
177,92.50,13,1024,512,160,32,True,False,4,diag
178,92.50,13,1024,512,160,32,True,False,4,tied
179,92.50,13,1024,512,160,32,True,False,8,tied
180,92.50,13,1024,512,160,32,True,False,12,tied
181,92.50,13,1024,512,200,26,True,False,4,diag
182,92.50,13,1024,512,200,26,True,False,4,tied
183,92.50,13,1024,512,200,26,True,False,12,diag
184,92.50,13,1024,512,200,26,True,False,8,tied
185,92.50,13,1024,512,200,26,True,False,12,tied
186,92.50,13,1024,512,200,26,True,True,4,tied
187,92.50,13,1024,512,200,26,True,True,8,tied
188,92.50,13,1024,512,200,32,True,False,4,diag
189,92.50,13,1024,512,200,32,True,False,4,tied
190,92.50,13,1024,512,200,32,True,False,8,tied
191,92.50,13,1024,512,200,32,True,False,12,tied
192,92.50,16,512,400,160,26,True,False,4,diag
193,92.50,16,512,400,160,26,True,False,4,tied
194,92.50,16,512,400,160,26,True,True,4,diag
195,92.50,16,512,400,160,26,True,False,8,tied
196,92.50,16,512,400,160,26,True,False,12,tied
197,92.50,16,512,400,160,26,True,True,8,diag
198,92.50,16,512,400,160,32,True,False,4,tied
199,92.50,16,512,400,160,32,True,False,8,tied
200,92.50,16,512,400,160,32,True,False,12,tied
201,92.50,16,512,400,160,32,True,True,8,diag
202,92.50,16,512,400,160,32,True,True,12,tied
203,92.50,16,512,400,200,26,True,False,4,tied
204,92.50,16,512,400,200,26,True,False,8,diag
205,92.50,16,512,400,200,26,True,True,4,tied
206,92.50,16,512,400,200,26,True,False,12,tied
207,92.50,16,512,400,200,26,True,True,8,tied
208,92.50,16,512,400,200,32,True,False,4,tied
209,92.50,16,512,400,200,32,True,False,8,tied
210,92.50,16,512,512,160,26,True,False,4,diag
211,92.50,16,512,400,200,32,True,True,12,tied
212,92.50,16,512,512,160,26,True,False,4,tied
213,92.50,16,512,512,160,26,True,True,4,diag
214,92.50,16,512,512,160,26,True,False,12,tied
215,92.50,16,512,512,160,26,True,True,12,diag
216,92.50,16,512,512,160,32,True,False,4,tied
217,92.50,16,512,512,160,26,True,True,12,tied
218,92.50,16,512,512,160,32,True,True,4,diag
219,92.50,16,512,512,160,32,True,False,8,tied
220,92.50,16,512,512,160,32,True,False,12,tied
221,92.50,16,512,512,160,32,True,True,12,tied
222,92.50,16,512,512,200,26,True,False,4,tied
223,92.50,16,512,512,200,26,True,False,12,diag
224,92.50,16,512,512,200,26,True,False,8,tied
225,92.50,16,512,512,200,26,True,False,12,tied
226,92.50,16,512,512,200,32,True,False,4,tied
227,92.50,16,512,512,200,32,True,False,8,tied
228,92.50,16,512,512,200,32,True,True,4,tied
229,92.50,16,512,512,200,32,True,True,8,diag
230,92.50,16,512,512,200,32,True,True,8,tied
231,92.50,16,1024,400,160,26,True,False,4,diag
232,92.50,16,1024,400,160,26,True,False,4,tied
233,92.50,16,1024,400,160,26,True,False,8,diag
234,92.50,16,1024,400,160,26,True,False,8,tied
235,92.50,16,1024,400,160,26,True,False,12,diag
236,92.50,16,1024,400,160,26,True,True,4,diag
237,92.50,16,1024,400,160,26,True,False,12,tied
238,92.50,16,1024,400,160,26,True,True,12,tied
239,92.50,16,1024,400,160,32,True,False,4,tied
240,92.50,16,1024,400,160,32,True,False,8,tied
241,92.50,16,1024,400,160,32,True,False,12,tied
242,92.50,16,1024,400,160,32,True,True,8,diag
243,92.50,16,1024,400,160,32,True,True,12,diag
244,92.50,16,1024,400,200,26,True,False,4,tied
245,92.50,16,1024,400,200,26,True,False,8,diag
246,92.50,16,1024,400,160,32,True,True,12,tied
247,92.50,16,1024,400,200,26,True,False,12,diag
248,92.50,16,1024,400,200,26,True,True,4,tied
249,92.50,16,1024,400,200,26,True,True,8,tied
250,92.50,16,1024,400,200,26,True,True,12,diag
251,92.50,16,1024,400,200,32,True,False,4,tied
252,92.50,16,1024,400,200,32,True,False,12,diag
253,92.50,16,1024,400,200,32,True,False,8,tied
254,92.50,16,1024,512,160,26,True,False,4,diag
255,92.50,16,1024,400,200,32,True,True,12,tied
256,92.50,16,1024,512,160,26,True,False,4,tied
257,92.50,16,1024,512,160,26,True,False,8,diag
258,92.50,16,1024,512,160,26,True,False,8,tied
259,92.50,16,1024,512,160,26,True,True,4,diag
260,92.50,16,1024,512,160,26,True,True,8,diag
261,92.50,16,1024,512,160,26,True,True,12,diag
262,92.50,16,1024,512,160,32,True,False,4,tied
263,92.50,16,1024,512,160,32,True,False,8,tied
264,92.50,16,1024,512,160,32,True,False,12,tied
265,92.50,16,1024,512,160,32,True,True,8,tied
266,92.50,16,1024,512,200,26,True,False,4,tied
267,92.50,16,1024,512,200,26,True,False,12,diag
268,92.50,16,1024,512,200,26,True,False,12,tied
269,92.50,16,1024,512,200,26,True,True,12,tied
270,92.50,16,1024,512,200,32,True,False,4,tied
271,92.50,16,1024,512,200,32,True,False,8,tied
272,92.50,16,1024,512,200,32,True,True,12,diag
273,92.50,16,1024,512,200,32,True,True,12,tied
274,92.50,20,512,400,160,26,True,True,8,diag
275,92.50,20,512,400,160,32,True,False,8,diag
276,92.50,20,512,400,160,32,True,True,8,tied
277,92.50,20,512,400,200,26,True,False,8,diag
278,92.50,20,512,400,200,26,True,True,4,diag
279,92.50,20,512,400,200,32,True,True,8,tied
280,92.50,20,512,512,160,32,True,False,4,diag
281,92.50,20,512,512,160,32,True,False,8,diag
282,92.50,20,512,512,160,32,True,False,8,tied
283,92.50,20,512,512,160,32,True,True,4,tied
284,92.50,20,512,512,160,32,True,False,12,diag
285,92.50,20,512,512,160,32,True,True,8,diag
286,92.50,20,512,512,200,32,True,True,8,diag
287,92.50,20,1024,400,200,26,True,True,4,diag
288,92.50,20,1024,400,200,32,True,False,12,diag
289,92.50,20,1024,400,200,32,True,True,12,diag
290,92.50,20,1024,512,160,26,True,False,8,diag
291,92.50,20,1024,512,160,26,True,False,8,tied
292,92.50,20,1024,512,160,32,True,False,4,diag
293,92.50,20,1024,512,160,32,True,False,8,diag
294,92.50,20,1024,512,160,32,True,True,4,tied
295,92.50,20,1024,512,160,32,True,True,8,diag
296,92.50,20,1024,512,200,32,True,False,8,tied
297,92.50,20,1024,512,200,32,True,True,4,tied
298,92.50,20,1024,512,200,32,True,True,8,diag
299,92.50,20,1024,512,200,32,True,True,8,tied
300,90.00,13,512,400,160,26,True,False,12,diag
301,90.00,13,512,400,160,26,True,True,4,tied
302,90.00,13,512,400,160,26,True,True,8,diag
303,90.00,13,512,400,160,26,True,True,8,tied
304,90.00,13,512,400,160,32,False,False,8,tied
305,90.00,13,512,400,160,26,True,True,12,tied
306,90.00,13,512,400,160,32,True,False,12,diag
307,90.00,13,512,400,160,32,True,True,4,tied
308,90.00,13,512,400,160,32,True,True,12,tied
309,90.00,13,512,400,200,26,True,False,8,diag
310,90.00,13,512,400,200,26,True,True,12,diag
311,90.00,13,512,400,200,26,True,True,12,tied
312,90.00,13,512,400,200,32,False,False,8,tied
313,90.00,13,512,400,200,32,True,False,4,diag
314,90.00,13,512,400,200,32,True,False,12,diag
315,90.00,13,512,400,200,32,True,True,4,tied
316,90.00,13,512,400,200,32,True,False,12,tied
317,90.00,13,512,400,200,32,True,True,12,diag
318,90.00,13,512,400,200,32,True,True,12,tied
319,90.00,13,512,512,160,26,True,False,8,diag
320,90.00,13,512,512,160,26,True,True,4,tied
321,90.00,13,512,512,160,26,True,True,8,tied
322,90.00,13,512,512,160,32,False,False,8,tied
323,90.00,13,512,512,160,26,True,True,12,diag
324,90.00,13,512,512,160,32,False,False,12,tied
325,90.00,13,512,512,160,32,True,True,4,tied
326,90.00,13,512,512,200,26,False,False,8,tied
327,90.00,13,512,512,200,26,True,False,12,diag
328,90.00,13,512,512,200,26,True,True,4,tied
329,90.00,13,512,512,200,26,True,True,8,diag
330,90.00,13,512,512,200,26,True,True,12,tied
331,90.00,13,512,512,200,32,True,False,12,tied
332,90.00,13,512,512,200,32,True,True,4,tied
333,90.00,13,1024,400,160,26,True,True,4,tied
334,90.00,13,1024,400,160,26,True,True,8,diag
335,90.00,13,1024,400,160,26,True,True,8,tied
336,90.00,13,1024,400,160,26,True,True,12,tied
337,90.00,13,1024,400,160,32,False,False,12,tied
338,90.00,13,1024,400,160,32,True,False,12,diag
339,90.00,13,1024,400,160,32,True,True,4,tied
340,90.00,13,1024,400,160,32,True,True,12,tied
341,90.00,13,1024,400,200,26,True,False,12,diag
342,90.00,13,1024,400,200,26,True,True,12,diag
343,90.00,13,1024,400,200,26,True,True,12,tied
344,90.00,13,1024,400,200,32,True,False,4,diag
345,90.00,13,1024,400,200,32,True,False,8,diag
346,90.00,13,1024,400,200,32,True,True,4,tied
347,90.00,13,1024,400,200,32,True,True,8,diag
348,90.00,13,1024,400,200,32,True,True,12,diag
349,90.00,13,1024,400,200,32,True,True,12,tied
350,90.00,13,1024,512,160,26,True,True,4,tied
351,90.00,13,1024,512,160,26,True,False,12,diag
352,90.00,13,1024,512,160,26,True,True,8,diag
353,90.00,13,1024,512,160,26,True,True,8,tied
354,90.00,13,1024,512,160,26,True,True,12,diag
355,90.00,13,1024,512,160,32,True,False,12,diag
356,90.00,13,1024,512,160,32,True,True,4,tied
357,90.00,13,1024,512,160,32,True,True,8,tied
358,90.00,13,1024,512,160,32,True,True,12,diag
359,90.00,13,1024,512,200,26,False,False,8,tied
360,90.00,13,1024,512,200,26,True,False,8,diag
361,90.00,13,1024,512,200,26,True,True,8,diag
362,90.00,13,1024,512,200,26,True,True,12,tied
363,90.00,13,1024,512,200,32,True,False,8,diag
364,90.00,13,1024,512,200,32,True,False,12,diag
365,90.00,13,1024,512,200,32,True,True,4,tied
366,90.00,13,1024,512,200,32,True,True,12,diag
367,90.00,13,1024,512,200,32,True,True,8,tied
368,90.00,13,1024,512,200,32,True,True,12,tied
369,90.00,16,512,400,160,26,True,False,8,diag
370,90.00,16,512,400,160,26,True,True,4,tied
371,90.00,16,512,400,160,32,False,False,4,tied
372,90.00,16,512,400,160,32,False,False,8,tied
373,90.00,16,512,400,160,32,True,False,8,diag
374,90.00,16,512,400,160,32,True,True,4,tied
375,90.00,16,512,400,160,32,True,True,8,tied
376,90.00,16,512,400,200,26,True,False,8,tied
377,90.00,16,512,400,200,26,True,True,8,diag
378,90.00,16,512,400,200,26,True,True,12,tied
379,90.00,16,512,400,200,32,True,False,12,tied
380,90.00,16,512,400,200,32,True,True,4,tied
381,90.00,16,512,400,200,32,True,True,8,tied
382,90.00,16,512,400,200,32,True,True,12,diag
383,90.00,16,512,512,160,26,True,False,8,tied
384,90.00,16,512,512,160,26,True,True,4,tied
385,90.00,16,512,512,160,26,True,True,8,diag
386,90.00,16,512,512,160,26,True,True,8,tied
387,90.00,16,512,512,160,32,False,False,8,tied
388,90.00,16,512,512,160,32,False,False,12,tied
389,90.00,16,512,512,160,32,True,False,8,diag
390,90.00,16,512,512,160,32,True,False,12,diag
391,90.00,16,512,512,160,32,True,True,4,tied
392,90.00,16,512,512,160,32,True,True,8,diag
393,90.00,16,512,512,160,32,True,True,12,diag
394,90.00,16,512,512,200,26,True,True,4,tied
395,90.00,16,512,512,200,32,False,False,4,tied
396,90.00,16,512,512,200,26,True,True,12,diag
397,90.00,16,512,512,200,32,False,False,8,tied
398,90.00,16,512,512,200,26,True,True,12,tied
399,90.00,16,512,512,200,32,True,False,8,diag
400,90.00,16,512,512,200,32,True,False,12,tied
401,90.00,16,1024,400,160,26,True,True,4,tied
402,90.00,16,1024,400,160,26,True,True,8,diag
403,90.00,16,1024,400,160,26,True,True,12,diag
404,90.00,16,1024,400,160,32,False,False,8,tied
405,90.00,16,1024,400,160,32,True,False,8,diag
406,90.00,16,1024,400,160,32,True,False,12,diag
407,90.00,16,1024,400,160,32,True,True,4,tied
408,90.00,16,1024,400,160,32,True,True,8,tied
409,90.00,16,1024,400,200,26,True,False,8,tied
410,90.00,16,1024,400,200,26,True,False,12,tied
411,90.00,16,1024,400,200,26,True,True,12,tied
412,90.00,16,1024,400,200,32,True,True,4,tied
413,90.00,16,1024,400,200,32,True,False,12,tied
414,90.00,16,1024,400,200,32,True,True,8,tied
415,90.00,16,1024,400,200,32,True,True,12,diag
416,90.00,16,1024,512,160,26,True,True,4,tied
417,90.00,16,1024,512,160,26,True,False,12,tied
418,90.00,16,1024,512,160,26,True,True,8,tied
419,90.00,16,1024,512,160,32,False,False,8,tied
420,90.00,16,1024,512,160,26,True,True,12,tied
421,90.00,16,1024,512,160,32,False,False,12,tied
422,90.00,16,1024,512,160,32,True,False,8,diag
423,90.00,16,1024,512,160,32,True,False,12,diag
424,90.00,16,1024,512,160,32,True,True,4,tied
425,90.00,16,1024,512,160,32,True,True,12,diag
426,90.00,16,1024,512,160,32,True,True,12,tied
427,90.00,16,1024,512,160,32,True,True,8,diag
428,90.00,16,1024,512,200,26,True,False,8,tied
429,90.00,16,1024,512,200,26,True,True,4,tied
430,90.00,16,1024,512,200,32,False,False,8,tied
431,90.00,16,1024,512,200,32,True,False,8,diag
432,90.00,16,1024,512,200,32,True,False,12,diag
433,90.00,16,1024,512,200,32,True,False,12,tied
434,90.00,16,1024,512,200,32,True,True,4,tied
435,90.00,16,1024,512,200,32,True,True,8,diag
436,90.00,16,1024,512,200,32,True,True,8,tied
437,90.00,20,512,400,160,26,True,False,8,diag
438,90.00,20,512,400,160,32,True,False,4,diag
439,90.00,20,512,400,160,32,True,True,4,tied
440,90.00,20,512,400,160,32,True,False,8,tied
441,90.00,20,512,400,160,32,True,True,12,tied
442,90.00,20,512,400,200,26,True,False,12,diag
443,90.00,20,512,400,200,26,True,True,8,diag
444,90.00,20,512,400,200,26,True,False,8,tied
445,90.00,20,512,400,200,26,True,True,12,diag
446,90.00,20,512,400,200,32,True,False,4,tied
447,90.00,20,512,400,200,32,True,False,12,tied
448,90.00,20,512,512,160,26,True,False,8,diag
449,90.00,20,512,512,160,26,True,False,8,tied
450,90.00,20,512,512,160,26,True,True,8,tied
451,90.00,20,512,512,160,32,True,False,4,tied
452,90.00,20,512,512,160,32,True,False,12,tied
453,90.00,20,512,512,160,32,True,True,8,tied
454,90.00,20,512,512,160,32,True,True,12,diag
455,90.00,20,512,512,160,32,True,True,12,tied
456,90.00,20,512,512,200,26,True,False,8,diag
457,90.00,20,512,512,200,26,True,True,8,diag
458,90.00,20,512,512,200,26,True,True,12,diag
459,90.00,20,512,512,200,32,True,False,8,diag
460,90.00,20,512,512,200,32,True,False,8,tied
461,90.00,20,512,512,200,32,True,True,4,tied
462,90.00,20,512,512,200,32,True,True,8,tied
463,90.00,20,1024,400,160,26,True,False,12,diag
464,90.00,20,1024,400,160,32,True,False,4,diag
465,90.00,20,1024,400,160,32,True,False,8,tied
466,90.00,20,1024,400,160,32,True,False,12,diag
467,90.00,20,1024,400,160,32,True,True,4,tied
468,90.00,20,1024,400,160,32,True,True,8,tied
469,90.00,20,1024,400,200,26,True,False,8,tied
470,90.00,20,1024,400,200,26,True,True,8,diag
471,90.00,20,1024,400,200,26,True,True,12,diag
472,90.00,20,1024,400,200,32,True,False,4,tied
473,90.00,20,1024,400,200,32,True,False,8,diag
474,90.00,20,1024,400,200,32,True,False,8,tied
475,90.00,20,1024,400,200,32,True,True,8,tied
476,90.00,20,1024,512,160,26,True,True,8,tied
477,90.00,20,1024,512,160,32,True,False,12,diag
478,90.00,20,1024,512,160,32,True,False,8,tied
479,90.00,20,1024,512,160,32,True,False,12,tied
480,90.00,20,1024,512,160,32,True,True,8,tied
481,90.00,20,1024,512,160,32,True,True,12,diag
482,90.00,20,1024,512,200,26,True,False,8,diag
483,90.00,20,1024,512,200,26,True,False,12,tied
484,90.00,20,1024,512,200,26,True,True,8,diag
485,90.00,20,1024,512,200,26,True,True,12,diag
486,90.00,20,1024,512,200,32,True,False,4,tied
487,90.00,20,1024,512,200,32,True,False,8,diag
488,90.00,20,1024,512,200,32,True,False,12,tied
489,90.00,20,1024,512,200,32,True,True,12,diag
490,87.50,13,512,400,160,26,False,False,8,tied
491,87.50,13,512,400,160,26,False,False,12,tied
492,87.50,13,512,400,160,26,True,False,8,diag
493,87.50,13,512,400,160,26,True,True,4,diag
494,87.50,13,512,400,160,32,False,False,4,tied
495,87.50,13,512,400,200,26,False,False,4,tied
496,87.50,13,512,400,200,26,False,False,8,tied
497,87.50,13,512,400,200,32,False,False,4,tied
498,87.50,13,512,400,200,32,True,False,8,diag
499,87.50,13,512,512,160,26,True,False,12,diag
500,87.50,13,512,512,160,26,True,True,4,diag
501,87.50,13,512,512,160,32,False,False,4,tied
502,87.50,13,512,512,200,26,False,False,4,tied
503,87.50,13,512,512,200,26,False,False,12,tied
504,87.50,13,512,512,200,26,True,False,8,diag
505,87.50,13,512,512,200,32,False,False,4,tied
506,87.50,13,512,512,200,32,False,False,8,tied
507,87.50,13,512,512,200,32,False,False,12,tied
508,87.50,13,1024,400,160,26,True,False,8,diag
509,87.50,13,1024,400,160,26,True,True,4,diag
510,87.50,13,1024,400,160,32,False,False,4,tied
511,87.50,13,1024,400,160,32,True,False,8,diag
512,87.50,13,1024,400,200,26,False,False,4,tied
513,87.50,13,1024,400,200,26,False,False,8,tied
514,87.50,13,1024,400,200,26,True,False,8,diag
515,87.50,13,1024,400,200,32,False,False,4,tied
516,87.50,13,1024,512,160,26,False,False,8,tied
517,87.50,13,1024,512,160,26,True,True,4,diag
518,87.50,13,1024,512,160,32,False,False,4,tied
519,87.50,13,1024,512,160,32,False,False,12,tied
520,87.50,13,1024,512,160,32,True,False,8,diag
521,87.50,13,1024,512,160,32,True,True,8,diag
522,87.50,13,1024,512,200,26,False,False,4,tied
523,87.50,13,1024,512,200,32,False,False,4,tied
